location,date,snow_depth
Spo,12/18/21,8
Dek,12/18/21,0
Bon,12/19/21,0
Car,12/19/21,0
Arl,12/19/21,0
Han,12/19/21,0
Spo,12/19/21,6
Dek,12/19/21,0
Bon,12/20/21,0
Car,12/20/21,0
Arl,12/20/21,0
Han,12/20/21,0
Spo,12/20/21,2
Dek,12/20/21,0
Bon,12/21/21,0
Car,12/21/21,0
Arl,12/21/21,0
Han,12/21/21,0
Spo,12/21/21,0
Dek,12/21/21,0
Bon,12/22/21,0
Car,12/22/21,0
Arl,12/22/21,0
Han,12/22/21,0
Spo,12/22/21,10
Dek,12/22/21,0
Bon,12/23/21,0
Car,12/23/21,0
Arl,12/23/21,0
Han,12/23/21,0
Spo,12/23/21,7
Dek,12/23/21,0
Bon,12/24/21,0
Car,12/24/21,0
Arl,12/24/21,0
Han,12/24/21,0
Spo,12/24/21,2
Dek,12/24/21,0
Bon,12/25/21,0
Car,12/25/21,0
Arl,12/25/21,0
Han,12/25/21,0
Spo,12/25/21,55
Dek,12/25/21,0
Bon,12/26/21,0
Car,12/26/21,0
Arl,12/26/21,0
Han,12/26/21,0
Spo,12/26/21,51
Dek,12/26/21,0
Bon,12/27/21,0
Car,12/27/21,0
Arl,12/27/21,51
Han,12/27/21,58
Spo,12/27/21,80
Dek,12/27/21,0
Bon,12/28/21,0
Car,12/28/21,0
Arl,12/28/21,62
Han,12/28/21,81
Spo,12/28/21,130
Dek,12/28/21,0
Bon,12/29/21,0
Car,12/29/21,0
Arl,12/29/21,130
Han,12/29/21,126
Spo,12/29/21,176
Dek,12/29/21,112
Bon,12/30/21,0
Car,12/30/21,0
Arl,12/30/21,120
Han,12/30/21,123
Spo,12/30/21,165
Dek,12/30/21,108
Bon,12/31/21,0
Car,12/31/21,0
Arl,12/31/21,75
Han,12/31/21,123
Spo,12/31/21,286
Dek,12/31/21,66
Bon,1/1/22,0
Car,1/1/22,0
Arl,1/1/22,74
Han,1/1/22,117
Spo,1/1/22,270
Dek,1/1/22,67
Bon,1/2/22,0
Car,1/2/22,3
Arl,1/2/22,71
Han,1/2/22,112
Spo,1/2/22,261
Dek,1/2/22,132
Bon,1/3/22,0
Car,1/3/22,8
Arl,1/3/22,69
Han,1/3/22,109
Spo,1/3/22,253
Dek,1/3/22,126
Bon,1/4/22,0
Car,1/4/22,2
Arl,1/4/22,66
Han,1/4/22,104
Spo,1/4/22,245
Dek,1/4/22,138
Bon,1/5/22,0
Car,1/5/22,0
Arl,1/5/22,60
Han,1/5/22,98
Spo,1/5/22,240
Dek,1/5/22,127
Bon,1/6/22,0
Car,1/6/22,0
Arl,1/6/22,67
Han,1/6/22,141
Spo,1/6/22,260
Dek,1/6/22,120
Bon,1/7/22,47
Car,1/7/22,0
Arl,1/7/22,65
Han,1/7/22,136
Spo,1/7/22,254
Dek,1/7/22,116
Bon,1/8/22,35
Car,1/8/22,0
Arl,1/8/22,72
Han,1/8/22,132
Spo,1/8/22,247
Dek,1/8/22,104
Bon,1/9/22,0
Car,1/9/22,17
Arl,1/9/22,69
Han,1/9/22,127
Spo,1/9/22,237
Dek,1/9/22,109
Bon,1/10/22,0
Car,1/10/22,7
Arl,1/10/22,65
Han,1/10/22,121
Spo,1/10/22,230
Dek,1/10/22,105
Bon,1/11/22,0
Car,1/11/22,3
Arl,1/11/22,70
Han,1/11/22,162
Spo,1/11/22,346
Dek,1/11/22,86
Bon,1/12/22,0
Car,1/12/22,0
Arl,1/12/22,64
Han,1/12/22,154
Spo,1/12/22,336
Dek,1/12/22,80
Bon,1/13/22,0
Car,1/13/22,0
Arl,1/13/22,54
Han,1/13/22,150
Spo,1/13/22,327
Dek,1/13/22,78
Bon,1/14/22,0
Car,1/14/22,0
Arl,1/14/22,55
Han,1/14/22,148
Spo,1/14/22,317
Dek,1/14/22,80
Bon,1/15/22,0
Car,1/15/22,0
Arl,1/15/22,55
Han,1/15/22,144
Spo,1/15/22,309
Dek,1/15/22,81
Bon,1/16/22,28
Car,1/16/22,0
Arl,1/16/22,54
Han,1/16/22,141
